City,Country,Date,Humidity,Cloudiness,Lat,Lon,Tem,Max Temp,Wind Speed
Bluff,NZ,1603749843,75,64,-46.6,168.33,11.11,11.11,1.34
Hilo,US,1603749750,74,90,19.73,-155.09,23.55,27.0,2.6
Ribeira Grande,PT,1603749843,88,75,38.52,-28.7,21.0,21.0,8.2
Rikitea,PF,1603749843,85,100,-23.12,-134.97,23.87,23.87,8.65
Jamestown,US,1603749544,93,90,42.1,-79.24,7.08,7.78,4.1
Inhambane,MZ,1603749844,89,0,-23.86,35.38,22.66,22.66,2.62
Kasempa,ZM,1603749668,31,24,-13.46,25.83,21.77,21.77,2.74
Vaini,TO,1603749844,78,75,-21.2,-175.2,25.0,25.0,4.1
Puerto Ayora,EC,1603749844,69,20,-0.74,-90.35,22.52,24.0,9.3
Thompson,CA,1603749844,46,75,55.74,-97.86,-1.0,-1.0,3.6
Sobolevo,RU,1603749844,91,59,54.43,31.9,6.84,6.84,4.61
Longyearbyen,SJ,1603749696,73,75,78.22,15.64,-3.0,-3.0,4.1
Atuona,PF,1603749845,72,90,-9.8,-139.03,26.18,26.18,9.11
Kapaa,US,1603749604,59,51,22.08,-159.32,28.5,29.44,2.02
Cape Town,ZA,1603749638,82,0,-33.93,18.42,17.87,18.89,1.5
Albany,US,1603749845,98,100,42.6,-73.97,9.44,9.44,1.34
Portland,US,1603749665,42,0,45.52,-122.68,11.16,12.78,0.45
Atocha,BO,1603749846,19,6,-20.93,-66.23,17.64,17.64,9.97
Port Blair,IN,1603749846,81,11,11.67,92.75,26.26,26.26,1.96
Busselton,AU,1603749846,83,61,-33.65,115.33,13.27,13.89,4.76
Qiongshan,CN,1603749846,100,40,20.01,110.35,20.0,20.0,1.0
Klaksvík,FO,1603749846,69,21,62.23,-6.59,3.0,3.0,2.1
Pāsighāt,IN,1603749847,71,37,28.07,95.33,21.9,21.9,1.03
Praia da Vitória,PT,1603749847,77,40,38.73,-27.07,20.56,21.0,4.54
Homer,US,1603749847,70,75,59.64,-151.55,5.29,7.0,13.9
Carnarvon,AU,1603749847,82,0,-24.87,113.63,20.0,20.0,8.2
Hamilton,US,1603749830,81,90,39.18,-84.53,9.71,10.56,3.1
Ushuaia,AR,1603749790,50,40,-54.8,-68.3,11.0,11.0,6.2
Port Elizabeth,ZA,1603749848,88,90,-33.92,25.57,18.0,18.0,8.2
Esperance,AU,1603749848,93,0,-33.87,121.9,12.0,12.0,2.6
Yakima,US,1603749684,28,1,46.47,-120.67,6.2,6.67,2.14
Hermanus,ZA,1603749849,83,67,-34.42,19.23,17.78,17.78,2.24
Saskylakh,RU,1603749849,91,93,71.92,114.08,-17.79,-17.79,2.62
Saint-Philippe,RE,1603749849,78,51,-21.36,55.77,20.29,22.0,2.1
Nome,US,1603749849,69,40,64.5,-165.41,2.31,2.78,3.6
Dalby,AU,1603749850,71,78,-27.18,151.27,22.22,22.22,2.68
Agüimes,ES,1603749850,73,40,27.91,-15.45,21.3,21.67,6.2
Saint-Pierre,RE,1603749604,78,11,-21.34,55.48,19.56,22.0,2.1
Nhulunbuy,AU,1603749850,83,100,-12.23,136.77,27.0,27.0,2.6
Kaitangata,NZ,1603749850,71,96,-46.28,169.85,11.67,11.67,1.34
Hobart,AU,1603749621,62,75,-42.88,147.33,11.17,12.22,3.1
Bokaro Steel City,IN,1603749851,60,0,23.78,85.97,19.89,19.89,1.82
Port Alfred,ZA,1603749851,84,93,-33.59,26.89,18.86,18.86,11.84
Harper,LR,1603749851,90,79,4.38,-7.72,25.46,25.46,3.99
New Norfolk,AU,1603749851,60,100,-42.78,147.06,10.35,12.22,0.45
Mataura,NZ,1603749852,75,96,-46.19,168.86,11.11,11.11,1.34
Bredasdorp,ZA,1603749852,88,100,-34.53,20.04,18.0,18.0,5.1
Laguna,US,1603749852,7,1,38.42,-121.42,22.74,23.33,7.7
Okhotsk,RU,1603749852,79,0,59.38,143.3,-2.16,-2.16,7.29
Iqaluit,CA,1603749853,78,75,63.75,-68.51,-10.0,-10.0,2.1
Tezu,IN,1603749853,60,51,27.92,96.17,22.61,22.61,0.79
Vao,NC,1603749853,83,6,-22.67,167.48,23.04,23.04,8.9
Malé,MV,1603749713,83,20,4.17,73.51,28.0,28.0,3.6
Kruisfontein,ZA,1603749853,91,100,-34.0,24.73,17.78,17.78,1.79
San Miguel de Cozumel,MX,1603749594,74,90,20.51,-86.95,28.0,28.0,12.9
Safi,MA,1603749854,78,0,32.3,-9.24,18.43,18.43,8.11
Issoire,FR,1603749854,70,75,45.55,3.25,9.0,9.0,3.6
Kawalu,ID,1603749854,93,100,-7.38,108.21,22.37,22.37,1.02
Bengkulu,ID,1603749855,82,100,-3.8,102.27,23.63,23.63,1.49
Jining,CN,1603749855,57,94,35.41,116.58,14.71,14.71,1.82
Luau,AO,1603749855,92,99,-10.71,22.22,19.15,19.15,1.33
Sitka,US,1603749843,88,100,57.05,-135.33,8.9,8.9,3.35
Hanchuan,CN,1603749856,87,0,30.65,113.77,15.0,15.0,1.0
Arraial do Cabo,BR,1603749856,78,20,-22.97,-42.03,23.57,24.0,2.6
Hithadhoo,MV,1603749856,66,58,-0.6,73.08,28.39,28.39,3.45
Biak,ID,1603749856,78,99,-0.91,122.88,24.98,24.98,1.34
Pangnirtung,CA,1603749856,67,75,66.15,-65.71,-6.0,-6.0,4.1
Polunochnoye,RU,1603749856,95,100,60.87,60.42,-7.84,-7.84,5.29
Talnakh,RU,1603749857,84,40,69.49,88.4,-17.0,-17.0,1.28
Punta Arenas,CL,1603749714,43,20,-53.15,-70.92,10.78,11.0,9.3
Ilulissat,GL,1603749857,73,100,69.22,-51.1,-7.0,-7.0,1.5
Faya,SA,1603749857,19,0,18.39,42.45,16.0,17.0,1.5
Kavieng,PG,1603749857,64,90,-2.57,150.8,29.16,29.16,2.89
Grindavik,IS,1603749858,80,75,63.84,-22.43,4.0,4.0,8.2
Fairbanks,US,1603749643,92,90,64.84,-147.72,-1.37,-0.56,1.99
Quepos,CR,1603749858,73,75,9.42,-84.17,22.44,23.0,3.1
Hirara,JP,1603749858,73,20,24.8,125.28,23.0,23.0,3.6
Boa Vista,BR,1603749858,43,20,2.82,-60.67,33.0,33.0,3.1
Ndjolé,GA,1603749859,94,98,-0.18,10.76,24.11,24.11,1.43
